Nombre del Archivo;Longitud de la cadena;Media;Complejidad_Media(c,c/b);Mediana;Complejidad_Mediana(c,c/b) 
DATA_20190307-0003_4_10Millones maximos_V_0.02;44828;0.19896556393237472;(2806, 0.9672219977668923);0.20472440123558044;(2846, 0.9810099093530206)
DATA_20190307-0003_4_10Millones maximos_V_0.06;40575;0.21573570750998042;(2654, 1.0013120744510766);0.21259842813014984;(2654, 1.0013120744510766)
DATA_20190307-0003_4_10Millones maximos_t_0.05;41571;2.4631689283394683e-05;(2486, 0.9175487364527265);2.73407999999975e-05;(2640, 0.97438803871086)
DATA_20190307-0003_4_10Millones maximos_t_0.06;40574;2.523694866663381e-05;(2394, 0.9032383643418308);2.744320000003242e-05;(2600, 0.9809606296110108)
DATA_20190307-0003_4_10Millones maximos_t_0.01;48792;2.0986308312838173e-05;(2706, 0.8637524603117579);2.396160000006642e-05;(2994, 0.955681768726313)
DATA_20190307-0003_4_10Millones maximos_t_0.02;44827;2.284257155732037e-05;(2591, 0.8931300363271446);2.682880000004495e-05;(2774, 0.9562110076308372)
DATA_20190307-0003_4_10Millones maximos_t_0.03;43657;2.3454748498522578e-05;(2549, 0.8999724163497345);2.7033600000003766e-05;(2721, 0.9607002529963231)
DATA_20190307-0003_4_10Millones maximos_V_0.1;37197;0.22801411137063743;(2459, 1.003703195953965);0.22047244012355804;(2468, 1.007376774141678)
DATA_20190307-0003_4_10Millones maximos_V_0.01;48793;0.18397622449518264;(2964, 0.9460882050526133);0.19291338324546814;(3001, 0.9578983479631891)
DATA_20190307-0003_4_10Millones maximos_t_0.04;42309;2.4202036332695177e-05;(2553, 0.9273731900026433);2.7238400000018093e-05;(2669, 0.9695100055295945)
DATA_20190307-0003_4_10Millones maximos_V_0.05;41572;0.2118819932104122;(2684, 0.9906062507278409);0.21259842813014984;(2690, 0.9928207207369196)
DATA_20190307-0003_4_10Millones maximos_V_0.03;43658;0.20361404194825472;(2762, 0.9751558284347782);0.20472440123558044;(2794, 0.9864537960343122)
DATA_20190307-0003_4_10Millones maximos_V_0.04;42310;0.2089757441295409;(2726, 0.9901939580206656);0.20866142213344574;(2726, 0.9901939580206656)
DATA_20190307-0003_4_10Millones maximos_t_0.1;37196;2.7528872868050332e-05;(2393, 0.9767873872097713);2.7750400000026154e-05;(2431, 0.9922984280430229)
